epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.2347,1.9136,1.38255,1.05826,0.44114,0.33473,0.31679,0.16472,1.75496,1.35851,1.01981,0.000542437,0.000542437,0.000542437
2,110.408,1.5078,1.01957,0.96649,0.50793,0.37975,0.38071,0.21023,1.55397,1.13712,0.97657,0.000999274,0.000999274,0.000999274
3,142.839,1.47394,0.98142,0.95414,0.51785,0.41023,0.38647,0.21116,1.54571,1.11878,0.98031,0.00135609,0.00135609,0.00135609
4,173.632,1.4458,0.99285,0.96037,0.47859,0.36945,0.36464,0.20687,1.57219,1.28134,0.98932,0.00121691,0.00121691,0.00121691
5,205.716,1.41486,0.95095,0.94665,0.46292,0.35679,0.34769,0.19166,1.67611,1.44268,1.00388,0.00106688,0.00106688,0.00106688
6,239.971,1.3829,0.93971,0.94018,0.51776,0.41429,0.39703,0.22272,1.49201,1.07376,0.95483,0.00091685,0.00091685,0.00091685
7,270.869,1.37358,0.90436,0.94204,0.57419,0.40824,0.41486,0.24065,1.45284,1.0243,0.95572,0.00076682,0.00076682,0.00076682
8,302.494,1.35053,0.89703,0.9387,0.55679,0.41706,0.41982,0.23387,1.50131,1.0187,0.95609,0.00061679,0.00061679,0.00061679
9,332.872,1.33497,0.88153,0.93287,0.55327,0.42546,0.41888,0.24117,1.41825,1.01231,0.94778,0.00046676,0.00046676,0.00046676
10,364.003,1.32614,0.87165,0.93007,0.57078,0.4231,0.43814,0.26088,1.3905,0.97478,0.9439,0.00031673,0.00031673,0.00031673
