epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.6071,1.64426,1.18275,1.00174,0.49409,0.22216,0.2931,0.1587,1.64254,1.84631,0.96526,0.000542437,0.000542437,0.000542437
2,106.124,1.39594,0.9854,0.95399,0.51729,0.40439,0.3917,0.21699,1.51698,1.10742,0.96908,0.000999274,0.000999274,0.000999274
3,135.065,1.41029,0.9947,0.95325,0.49239,0.39758,0.39291,0.21439,1.56016,1.16203,0.97731,0.00135609,0.00135609,0.00135609
4,164.109,1.38822,0.99303,0.95507,0.50459,0.41348,0.40014,0.22684,1.47349,1.15036,0.96174,0.00121691,0.00121691,0.00121691
5,192.912,1.37732,0.97223,0.94813,0.51117,0.37189,0.38315,0.21787,1.45821,1.35655,0.94665,0.00106688,0.00106688,0.00106688
6,221.728,1.33925,0.94271,0.93878,0.52388,0.41702,0.40865,0.24174,1.42385,1.0729,0.96141,0.00091685,0.00091685,0.00091685
7,250.583,1.30594,0.90539,0.9359,0.59223,0.43367,0.45692,0.27354,1.35526,0.94355,0.9403,0.00076682,0.00076682,0.00076682
8,279.413,1.28253,0.89542,0.93243,0.56421,0.44352,0.44895,0.26069,1.38132,0.96364,0.93256,0.00061679,0.00061679,0.00061679
9,308.062,1.26338,0.86747,0.92419,0.57168,0.45289,0.45726,0.27884,1.314,0.92458,0.92827,0.00046676,0.00046676,0.00046676
10,336.913,1.25038,0.83484,0.91883,0.58839,0.45246,0.471,0.29269,1.27144,0.93029,0.91901,0.00031673,0.00031673,0.00031673
