epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.8282,2.98167,2.78566,1.32041,0.37362,0.28644,0.24616,0.11504,2.03884,1.64888,1.07621,0.000542437,0.000542437,0.000542437
2,108.05,1.72566,1.24989,1.02281,0.46533,0.3627,0.33508,0.17538,1.76928,1.40201,1.02868,0.000999274,0.000999274,0.000999274
3,136.853,1.61396,1.17571,0.99087,0.47506,0.37912,0.34533,0.17489,1.7457,1.21175,1.0119,0.00135609,0.00135609,0.00135609
4,165.69,1.56622,1.14665,0.99115,0.4763,0.37565,0.35094,0.18723,1.67285,1.2025,1.01872,0.00121691,0.00121691,0.00121691
5,194.323,1.52194,1.10405,0.97502,0.48368,0.37987,0.37179,0.20222,1.58315,1.25133,0.97967,0.00106688,0.00106688,0.00106688
6,222.825,1.48271,1.07412,0.96558,0.49379,0.38016,0.37554,0.20458,1.62313,1.15025,0.98816,0.00091685,0.00091685,0.00091685
7,251.316,1.45186,1.04576,0.96146,0.51494,0.416,0.38683,0.2188,1.50327,1.08813,0.97733,0.00076682,0.00076682,0.00076682
8,280.16,1.42338,1.02254,0.95895,0.50596,0.41326,0.39771,0.2229,1.512,1.05836,0.97263,0.00061679,0.00061679,0.00061679
9,308.537,1.42066,1.01491,0.95486,0.53299,0.41145,0.41884,0.24129,1.45887,1.03054,0.95816,0.00046676,0.00046676,0.00046676
10,336.864,1.40491,0.99186,0.95018,0.53703,0.4182,0.42599,0.24807,1.44552,1.02517,0.96269,0.00031673,0.00031673,0.00031673
