epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.0859,1.67588,1.2104,1.00764,0.59064,0.24949,0.26461,0.12024,1.98057,1.96847,1.01167,0.0677857,0.000325397,0.000325397
2,103.671,1.39144,0.99107,0.94977,0.4902,0.38883,0.37719,0.21136,1.56085,1.12827,0.96418,0.0347264,0.000599444,0.000599444
3,132.196,1.38426,0.9686,0.94432,0.52152,0.41541,0.4078,0.23515,1.46695,1.06032,0.95566,0.00160714,0.000813492,0.000813492
4,160.52,1.36584,0.95933,0.94767,0.54216,0.44055,0.43695,0.25787,1.41447,0.98897,0.95774,0.00073,0.00073,0.00073
5,188.961,1.32509,0.92629,0.93448,0.50902,0.38089,0.39054,0.22349,1.48755,1.26443,0.94921,0.00064,0.00064,0.00064
6,216.881,1.31692,0.90583,0.93417,0.53597,0.44642,0.43131,0.25506,1.35522,0.98089,0.94082,0.00055,0.00055,0.00055
7,244.787,1.28683,0.88002,0.93143,0.58133,0.44837,0.47224,0.28859,1.30667,0.92177,0.93335,0.00046,0.00046,0.00046
8,273.014,1.26661,0.86293,0.92545,0.53452,0.45129,0.44563,0.26132,1.36845,1.01287,0.92852,0.00037,0.00037,0.00037
9,301.341,1.25298,0.84487,0.92081,0.55329,0.44927,0.46273,0.27642,1.33452,0.94887,0.92487,0.00028,0.00028,0.00028
10,329.143,1.23627,0.82975,0.91511,0.58162,0.45438,0.47558,0.29068,1.27319,0.94066,0.91956,0.00019,0.00019,0.00019
