epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6592,2.39631,1.8977,1.17139,0.21542,0.18601,0.12071,0.04621,2.47652,2.07358,1.23425,0.0674929,3.25397e-05,3.25397e-05
2,104.534,1.82475,1.33738,1.03668,0.3732,0.31814,0.26318,0.12191,1.92118,1.47769,1.04014,0.0341869,5.99444e-05,5.99444e-05
3,133.366,1.71099,1.24108,0.9969,0.47389,0.35281,0.33426,0.16979,1.75825,1.25366,0.99655,0.000875,8.13492e-05,8.13492e-05
4,161.495,1.62721,1.16973,0.98801,0.48198,0.38427,0.35956,0.19046,1.65904,1.22604,0.98424,7.3e-05,7.3e-05,7.3e-05
5,189.907,1.57863,1.13608,0.97307,0.51475,0.38557,0.38303,0.20587,1.61546,1.14603,0.97707,6.4e-05,6.4e-05,6.4e-05
6,218.233,1.55584,1.09976,0.96758,0.51204,0.39752,0.38334,0.2079,1.57676,1.14631,0.96725,5.5e-05,5.5e-05,5.5e-05
7,246.403,1.53001,1.09395,0.96539,0.51753,0.39515,0.38511,0.21377,1.55328,1.13867,0.96678,4.6e-05,4.6e-05,4.6e-05
8,274.572,1.51796,1.07521,0.96392,0.49002,0.40612,0.38126,0.20991,1.55039,1.15151,0.96117,3.7e-05,3.7e-05,3.7e-05
9,302.54,1.50412,1.07216,0.95693,0.50395,0.40373,0.38863,0.21543,1.54246,1.1364,0.95948,2.8e-05,2.8e-05,2.8e-05
10,330.731,1.50147,1.06165,0.95379,0.51759,0.40849,0.39453,0.22032,1.52581,1.09988,0.95772,1.9e-05,1.9e-05,1.9e-05
