epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5068,1.72828,1.35572,1.01725,0.35841,0.32334,0.26007,0.12308,1.89861,1.44371,1.0202,0.000542437,0.000542437,0.000542437
2,105.117,1.44167,1.07894,0.95801,0.51394,0.38189,0.37218,0.19876,1.58162,1.32349,0.99078,0.000999274,0.000999274,0.000999274
3,134.495,1.46789,1.09536,0.97152,0.44445,0.3797,0.3202,0.17244,1.60548,1.35759,1.00656,0.00135609,0.00135609,0.00135609
4,163.388,1.44113,1.06732,0.97144,0.46066,0.36724,0.3385,0.18304,1.57666,1.54433,0.99437,0.00121691,0.00121691,0.00121691
5,192.177,1.40976,1.02509,0.95832,0.465,0.4082,0.38343,0.21997,1.48658,1.09463,0.94849,0.00106688,0.00106688,0.00106688
6,221.175,1.34967,0.96477,0.94584,0.53049,0.40857,0.41805,0.24599,1.44328,1.0762,0.94802,0.00091685,0.00091685,0.00091685
7,250.072,1.32898,0.94007,0.94234,0.58298,0.43168,0.43891,0.25931,1.37141,0.99656,0.94972,0.00076682,0.00076682,0.00076682
8,279.078,1.29592,0.90804,0.93567,0.55433,0.44938,0.44468,0.26928,1.29551,0.93606,0.92774,0.00061679,0.00061679,0.00061679
9,307.732,1.26513,0.87453,0.9257,0.51794,0.4589,0.44269,0.26942,1.30141,0.98788,0.92104,0.00046676,0.00046676,0.00046676
10,336.202,1.24571,0.84447,0.91757,0.58967,0.45057,0.47009,0.29142,1.26047,0.98131,0.91737,0.00031673,0.00031673,0.00031673
