epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5155,1.96104,1.41496,1.07039,0.49387,0.29285,0.24898,0.11685,1.93281,1.99115,1.05244,0.0677857,0.000325397,0.000325397
2,103.506,1.56386,1.08914,0.98354,0.43243,0.36855,0.28674,0.15328,1.61958,1.57641,1.00223,0.0347264,0.000599444,0.000599444
3,132.427,1.49892,1.03079,0.95985,0.68215,0.29189,0.29787,0.16204,1.6119,1.69779,0.99758,0.00160714,0.000813492,0.000813492
4,160.192,1.46268,1.02668,0.96509,0.46873,0.35652,0.34973,0.19079,1.65705,1.24718,0.98437,0.00073,0.00073,0.00073
5,187.938,1.44325,1.00468,0.95685,0.50122,0.39368,0.39564,0.21947,1.57906,1.11166,0.97346,0.00064,0.00064,0.00064
6,216.009,1.41774,0.96913,0.94657,0.51607,0.38286,0.33968,0.19285,1.49504,1.34602,0.96584,0.00055,0.00055,0.00055
7,244.247,1.39988,0.96243,0.94751,0.54427,0.41981,0.43459,0.24577,1.49397,1.01233,0.96008,0.00046,0.00046,0.00046
8,271.965,1.37529,0.93917,0.94203,0.55646,0.4375,0.43762,0.24901,1.43347,0.99478,0.94908,0.00037,0.00037,0.00037
9,299.498,1.36776,0.93711,0.93877,0.54533,0.43279,0.43169,0.24033,1.47134,0.99763,0.95129,0.00028,0.00028,0.00028
10,327.049,1.35954,0.92426,0.93703,0.58585,0.42878,0.44442,0.26144,1.38237,0.94173,0.945,0.00019,0.00019,0.00019
