epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.6157,1.72511,1.23129,1.02154,0.27397,0.40101,0.24774,0.11986,1.82826,1.73775,1.03248,0.0677857,0.000325397,0.000325397
2,105.301,1.42448,1.0026,0.95754,0.49846,0.39161,0.36718,0.20697,1.48613,1.16081,0.95881,0.0347264,0.000599444,0.000599444
3,133.829,1.39188,0.97038,0.94489,0.48332,0.41871,0.36922,0.20715,1.45945,1.18554,0.96439,0.00160714,0.000813492,0.000813492
4,162.026,1.37811,0.96492,0.95029,0.52137,0.40381,0.40864,0.23446,1.46552,1.09877,0.95299,0.00073,0.00073,0.00073
5,190.233,1.36032,0.93971,0.9403,0.52683,0.40327,0.41777,0.24068,1.46479,1.10731,0.94843,0.00064,0.00064,0.00064
6,218.275,1.32158,0.9078,0.93341,0.54451,0.4334,0.43148,0.25212,1.39451,1.01822,0.94375,0.00055,0.00055,0.00055
7,246.481,1.32128,0.90379,0.93433,0.5378,0.44095,0.4282,0.25196,1.37425,0.98425,0.94476,0.00046,0.00046,0.00046
8,274.578,1.30412,0.89646,0.93404,0.55247,0.43489,0.4311,0.25673,1.36137,0.98006,0.9391,0.00037,0.00037,0.00037
9,302.474,1.28698,0.87902,0.92582,0.52047,0.41468,0.40894,0.23771,1.40763,1.11667,0.93728,0.00028,0.00028,0.00028
10,330.33,1.27726,0.85866,0.92275,0.55302,0.45493,0.45799,0.27834,1.29864,0.91587,0.92975,0.00019,0.00019,0.00019
