epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.9021,1.94945,1.50098,1.05944,0.20287,0.22673,0.12806,0.04519,2.58836,2.57349,1.17495,0.0674929,3.25397e-05,3.25397e-05
2,102.453,1.55535,1.14685,0.9825,0.52212,0.3165,0.29623,0.14997,1.75471,1.60287,0.98832,0.0341869,5.99444e-05,5.99444e-05
3,131.215,1.46301,1.05696,0.95285,0.54918,0.41815,0.42537,0.2387,1.46673,1.04157,0.95079,0.000875,8.13492e-05,8.13492e-05
4,159.602,1.38736,0.98499,0.94394,0.54846,0.43767,0.43795,0.25379,1.40444,0.98305,0.9402,7.3e-05,7.3e-05,7.3e-05
5,187.907,1.3545,0.94019,0.9333,0.56128,0.44393,0.4547,0.26195,1.40787,0.96496,0.93647,6.4e-05,6.4e-05,6.4e-05
6,216.211,1.32716,0.92002,0.92577,0.56952,0.44071,0.45597,0.26933,1.35851,0.93763,0.93279,5.5e-05,5.5e-05,5.5e-05
7,244.393,1.31351,0.9057,0.92435,0.54627,0.45119,0.44992,0.26573,1.35515,0.95875,0.92911,4.6e-05,4.6e-05,4.6e-05
8,272.432,1.30113,0.88239,0.92295,0.52565,0.45196,0.4421,0.25846,1.37041,0.99522,0.92967,3.7e-05,3.7e-05,3.7e-05
9,300.345,1.29694,0.88048,0.91912,0.55718,0.44952,0.45333,0.26751,1.34995,0.95217,0.92864,2.8e-05,2.8e-05,2.8e-05
10,328.37,1.2928,0.87529,0.91615,0.56106,0.45613,0.46346,0.2731,1.3474,0.92986,0.92783,1.9e-05,1.9e-05,1.9e-05
