epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6206,2.18421,1.61126,1.12944,0.41907,0.33823,0.29025,0.15064,1.80931,1.33652,1.03116,0.000542437,0.000542437,0.000542437
2,107.408,1.57504,1.13499,0.98859,0.49806,0.3801,0.35938,0.191,1.5949,1.18812,0.9785,0.000999274,0.000999274,0.000999274
3,136.525,1.53199,1.09998,0.97593,0.41129,0.38102,0.30833,0.17133,1.5568,1.51362,0.98357,0.00135609,0.00135609,0.00135609
4,165.353,1.49514,1.09551,0.97799,0.50782,0.39376,0.38125,0.21169,1.53576,1.11998,0.98383,0.00121691,0.00121691,0.00121691
5,194.398,1.44592,1.04689,0.95881,0.49374,0.38847,0.37991,0.21594,1.54294,1.11349,0.96393,0.00106688,0.00106688,0.00106688
6,223.411,1.41386,1.01252,0.95294,0.46896,0.42813,0.38113,0.20815,1.54355,1.18524,0.96171,0.00091685,0.00091685,0.00091685
7,251.946,1.40031,0.99422,0.95182,0.53867,0.4092,0.41775,0.24585,1.42259,1.01731,0.95273,0.00076682,0.00076682,0.00076682
8,281.22,1.36196,0.96054,0.94723,0.50862,0.42002,0.40848,0.22572,1.51258,1.05991,0.95378,0.00061679,0.00061679,0.00061679
9,309.825,1.34802,0.94514,0.94256,0.52895,0.43014,0.42233,0.24218,1.43463,1.01553,0.94645,0.00046676,0.00046676,0.00046676
10,338.64,1.33362,0.9254,0.93727,0.56357,0.42743,0.43946,0.2674,1.35151,0.94708,0.93999,0.00031673,0.00031673,0.00031673
