epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5386,2.16413,1.58771,1.13678,0.26492,0.13014,0.10233,0.03801,2.81883,2.22076,1.41424,0.0677857,0.000325397,0.000325397
2,101.29,1.63438,1.16654,0.99381,0.44156,0.33018,0.30452,0.15689,1.79283,1.52477,1.00163,0.0347264,0.000599444,0.000599444
3,130.49,1.57537,1.10444,0.97575,0.43284,0.30513,0.28985,0.14011,1.84124,1.65314,1.02758,0.00160714,0.000813492,0.000813492
4,157.879,1.54259,1.08144,0.97643,0.47844,0.38096,0.35714,0.19086,1.61937,1.2369,0.99907,0.00073,0.00073,0.00073
5,185.868,1.50619,1.04792,0.96478,0.52855,0.39305,0.38931,0.2124,1.59085,1.13832,0.97775,0.00064,0.00064,0.00064
6,213.625,1.48311,1.03473,0.95769,0.52781,0.40297,0.40298,0.22381,1.53775,1.10109,0.96401,0.00055,0.00055,0.00055
7,242.316,1.46916,1.02529,0.95873,0.53993,0.40042,0.40519,0.22608,1.51957,1.09636,0.96568,0.00046,0.00046,0.00046
8,270.032,1.44983,0.99887,0.95688,0.50859,0.41198,0.39387,0.21416,1.55823,1.10845,0.96745,0.00037,0.00037,0.00037
9,297.513,1.43063,0.99676,0.94872,0.50852,0.41297,0.40504,0.22304,1.53456,1.09355,0.96057,0.00028,0.00028,0.00028
10,324.889,1.42242,0.97943,0.94684,0.54463,0.41695,0.42362,0.24248,1.44705,1.04914,0.9535,0.00019,0.00019,0.00019
