epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.082,2.11953,1.56897,1.09599,0.42804,0.30513,0.28881,0.14924,1.75547,1.47599,1.0277,0.000542437,0.000542437,0.000542437
2,112.466,1.53813,1.07557,0.9742,0.49802,0.37228,0.37936,0.20966,1.57917,1.18775,0.98191,0.000999274,0.000999274,0.000999274
3,144.786,1.50418,1.04427,0.9632,0.50643,0.39544,0.37515,0.20527,1.55867,1.12187,0.97733,0.00135609,0.00135609,0.00135609
4,177.147,1.48113,1.02596,0.96555,0.52903,0.35978,0.35339,0.19935,1.5378,1.19763,0.9798,0.00121691,0.00121691,0.00121691
5,209.651,1.44557,1.003,0.95292,0.52847,0.39039,0.40154,0.22606,1.53555,1.11567,0.96775,0.00106688,0.00106688,0.00106688
6,242.778,1.42685,0.98526,0.94766,0.51804,0.3946,0.38898,0.21806,1.55501,1.08825,0.97003,0.00091685,0.00091685,0.00091685
7,273.696,1.40883,0.96427,0.94938,0.48885,0.35153,0.35228,0.20777,1.48275,1.26786,0.9673,0.00076682,0.00076682,0.00076682
8,305.026,1.39184,0.95058,0.94628,0.50183,0.39856,0.39307,0.21779,1.54152,1.13427,0.96007,0.00061679,0.00061679,0.00061679
9,335.56,1.38396,0.93912,0.94319,0.55803,0.42066,0.43179,0.24419,1.45569,1.01377,0.95284,0.00046676,0.00046676,0.00046676
10,367.646,1.37391,0.93476,0.93832,0.54172,0.42224,0.42837,0.25086,1.42551,1.00077,0.95082,0.00031673,0.00031673,0.00031673
