epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.926,1.38091,1.39266,1.11244,0.60602,0.5683,0.59485,0.3777,1.23213,1.14501,1.04744,0.000554227,0.000554227,0.000554227
2,409.569,1.35203,1.16719,1.0938,0.37643,0.61651,0.52637,0.32567,1.26663,1.40509,1.04658,0.00108792,0.00108792,0.00108792
3,598.462,1.3333,1.12293,1.08403,0.59307,0.62342,0.64433,0.41832,1.15399,1.00807,1.01179,0.0015996,0.0015996,0.0015996
4,804.259,1.28548,1.05552,1.07169,0.68465,0.60183,0.65986,0.43306,1.15234,0.93279,1.01271,0.00156798,0.00156798,0.00156798
5,1014.99,1.25174,1.02357,1.06033,0.66921,0.63567,0.67046,0.43604,1.14559,0.92005,1.00771,0.00153497,0.00153497,0.00153497
6,1232.21,1.21884,0.96991,1.0461,0.64891,0.65847,0.70032,0.47145,1.07957,0.87047,0.99199,0.00150197,0.00150197,0.00150197
7,1429.23,1.18488,0.9448,1.03822,0.69728,0.64896,0.69805,0.47474,1.06959,0.8373,0.97996,0.00146896,0.00146896,0.00146896
8,1624.16,1.18502,0.92917,1.03342,0.65571,0.6489,0.69217,0.47275,1.03559,0.86236,0.97901,0.00143595,0.00143595,0.00143595
9,1834.58,1.17176,0.90367,1.02898,0.69265,0.65944,0.71207,0.48407,1.04193,0.80145,0.98094,0.00140295,0.00140295,0.00140295
10,2027.77,1.16685,0.89674,1.02558,0.68711,0.67298,0.73033,0.50228,1.01588,0.7872,0.96808,0.00136994,0.00136994,0.00136994
11,2227.27,1.13904,0.85621,1.01586,0.7381,0.68634,0.74033,0.51237,1.02036,0.74279,0.9712,0.00133693,0.00133693,0.00133693
12,2416.59,1.13336,0.85281,1.01256,0.64064,0.64493,0.67964,0.46428,1.02884,0.92762,0.97438,0.00130393,0.00130393,0.00130393
13,2628.63,1.12658,0.84058,1.01299,0.65976,0.65918,0.7003,0.47815,1.03516,0.85398,0.97221,0.00127092,0.00127092,0.00127092
14,2811.38,1.11778,0.8306,1.00618,0.72656,0.68528,0.7401,0.51725,0.9862,0.73291,0.96726,0.00123791,0.00123791,0.00123791
15,3008.66,1.11314,0.81942,1.00834,0.73846,0.68581,0.74814,0.5217,0.99125,0.70694,0.96085,0.00120491,0.00120491,0.00120491
16,3196.2,1.08262,0.80238,0.99732,0.72134,0.68936,0.74451,0.51981,0.98288,0.73601,0.95821,0.0011719,0.0011719,0.0011719
17,3380.29,1.09045,0.78966,0.99906,0.76521,0.69637,0.76644,0.5424,0.97015,0.67939,0.95691,0.00113889,0.00113889,0.00113889
18,3564.86,1.09929,0.79301,1.00127,0.74999,0.6936,0.75587,0.53437,0.97892,0.69874,0.95635,0.00110589,0.00110589,0.00110589
