epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4761,2.16597,1.6856,1.12464,0.31374,0.28643,0.21183,0.09715,1.97529,1.7416,1.04053,0.000542437,0.000542437,0.000542437
2,106.622,1.64255,1.21019,1.00656,0.41626,0.34526,0.31017,0.16048,1.72279,1.36274,1.00006,0.000999274,0.000999274,0.000999274
3,135.258,1.59445,1.16113,0.98934,0.43144,0.38598,0.336,0.17329,1.68905,1.24893,1.00007,0.00135609,0.00135609,0.00135609
4,163.694,1.5583,1.13811,0.9891,0.51216,0.37112,0.36179,0.19594,1.63702,1.1911,1.01326,0.00121691,0.00121691,0.00121691
5,192.911,1.52052,1.1088,0.97506,0.48081,0.3845,0.36214,0.19721,1.72088,1.3514,1.04992,0.00106688,0.00106688,0.00106688
6,221.009,1.49465,1.07905,0.97003,0.46715,0.38652,0.36219,0.20357,1.58351,1.17637,0.98445,0.00091685,0.00091685,0.00091685
7,249.765,1.46998,1.0676,0.96786,0.51964,0.41114,0.40158,0.2276,1.49313,1.06286,0.97298,0.00076682,0.00076682,0.00076682
8,278.598,1.44778,1.04388,0.96483,0.49225,0.39567,0.38002,0.21001,1.55353,1.10629,0.96628,0.00061679,0.00061679,0.00061679
9,306.956,1.44507,1.03399,0.9585,0.5328,0.40797,0.41372,0.2333,1.49589,1.05965,0.96545,0.00046676,0.00046676,0.00046676
10,335.214,1.42775,1.02053,0.95644,0.53886,0.41684,0.41892,0.24307,1.43733,1.03444,0.9586,0.00031673,0.00031673,0.00031673
