epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.8869,2.81204,2.33259,1.25575,0.29088,0.29119,0.19854,0.08297,2.25335,1.76194,1.0907,0.000542437,0.000542437,0.000542437
2,107.911,1.81708,1.36209,1.04753,0.43477,0.37654,0.32617,0.15758,1.79594,1.32796,1.02928,0.000999274,0.000999274,0.000999274
3,136.869,1.69791,1.26121,1.01154,0.40799,0.38326,0.31035,0.15486,1.75797,1.36927,1.02397,0.00135609,0.00135609,0.00135609
4,164.969,1.64267,1.21152,1.00758,0.4706,0.381,0.3429,0.17991,1.67259,1.26369,1.01684,0.00121691,0.00121691,0.00121691
5,194.121,1.60524,1.18042,0.9956,0.45235,0.35621,0.3382,0.18516,1.65606,1.28144,1.0081,0.00106688,0.00106688,0.00106688
6,222.829,1.56296,1.13532,0.98164,0.42902,0.37581,0.31894,0.16786,1.68078,1.27786,1.00381,0.00091685,0.00091685,0.00091685
7,251.23,1.54494,1.13124,0.98235,0.48889,0.36951,0.3592,0.19923,1.58477,1.19999,0.99842,0.00076682,0.00076682,0.00076682
8,279.781,1.51337,1.1052,0.97844,0.49402,0.38335,0.36532,0.20412,1.55605,1.1376,0.98132,0.00061679,0.00061679,0.00061679
9,308.722,1.50318,1.08233,0.97018,0.50434,0.39394,0.39038,0.21367,1.56575,1.10037,0.97591,0.00046676,0.00046676,0.00046676
10,337.468,1.49225,1.07244,0.96901,0.51793,0.39017,0.39142,0.22277,1.52098,1.11725,0.97326,0.00031673,0.00031673,0.00031673
