epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6647,4.39252,5.32187,2.02581,0.00148,0.06278,0.00081,0.00023,4.64143,10.7407,2.80069,0.0677857,0.000325397,0.000325397
2,102.831,4.13832,3.66975,1.67987,0.00066,0.0061,0.00034,9e-05,4.45038,6.94765,4.21495,0.0347264,0.000599444,0.000599444
3,127.289,4.10746,3.65809,1.64268,0,0,0,0,4.22113,6.34132,2.60655,0.00160714,0.000813492,0.000813492
4,156.025,4.08884,3.66041,1.62516,0.00179,0.05952,0.00108,0.0003,4.11144,4.19878,1.85025,0.00073,0.00073,0.00073
5,184.062,4.09282,3.65433,1.61747,0.0014,0.04265,0.00074,0.00021,4.13661,3.61634,1.85424,0.00064,0.00064,0.00064
6,211.126,4.08365,3.65221,1.61263,0.00227,0.05537,0.00269,0.00114,4.26459,3.99752,1.6041,0.00055,0.00055,0.00055
7,241.087,4.0483,3.60989,1.6041,0.00168,0.06877,0.00102,0.00031,4.12858,4.17701,1.78896,0.00046,0.00046,0.00046
8,269.954,3.94142,3.52149,1.61439,0.00146,0.05843,0.0009,0.00027,4.19992,3.95186,2.06227,0.00037,0.00037,0.00037
9,298.593,3.82653,3.4378,1.60757,0.00121,0.04629,0.00069,0.00024,4.20104,4.53212,2.28108,0.00028,0.00028,0.00028
10,327.502,3.77652,3.37918,1.59034,0.00103,0.03985,0.00057,0.00022,4.34862,4.84852,2.73454,0.00019,0.00019,0.00019
