epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7237,2.30807,1.97108,1.20224,0.26353,0.19032,0.1484,0.06739,2.39856,2.04773,1.09211,0.000542437,0.000542437,0.000542437
2,105.932,1.54495,1.19358,0.98607,0.39659,0.34588,0.29177,0.14163,1.72024,1.50523,1.00605,0.000999274,0.000999274,0.000999274
3,136.381,1.53792,1.16749,0.9821,0.45197,0.3918,0.34205,0.18089,1.59719,1.4386,1.00627,0.00135609,0.00135609,0.00135609
4,167.321,1.48994,1.11985,0.98109,0.49361,0.37052,0.35802,0.2013,1.54883,1.3008,0.98953,0.00121691,0.00121691,0.00121691
5,197.764,1.43659,1.07275,0.96503,0.44008,0.38162,0.35902,0.19144,1.59355,1.17297,0.95516,0.00106688,0.00106688,0.00106688
6,227.765,1.38321,1.0172,0.95337,0.5113,0.42471,0.42054,0.24185,1.47557,1.0811,0.95282,0.00091685,0.00091685,0.00091685
7,258.809,1.353,0.99017,0.94788,0.53612,0.39926,0.408,0.23968,1.37441,1.01272,0.95155,0.00076682,0.00076682,0.00076682
8,288.1,1.32201,0.95067,0.94246,0.55282,0.43324,0.43616,0.25517,1.38086,1.04288,0.9332,0.00061679,0.00061679,0.00061679
9,317.647,1.30038,0.92191,0.93186,0.57019,0.44762,0.45945,0.27457,1.33821,0.93883,0.92374,0.00046676,0.00046676,0.00046676
10,346.754,1.27543,0.88529,0.92801,0.57494,0.44092,0.45924,0.28549,1.29173,0.93568,0.92427,0.00031673,0.00031673,0.00031673
