epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6854,2.14164,1.823,1.11037,0.23285,0.14497,0.10538,0.04023,2.70604,2.40508,1.18375,0.0674929,3.25397e-05,3.25397e-05
2,114.686,1.7682,1.33679,1.01898,0.47108,0.34078,0.32277,0.15842,1.8109,1.25347,1.00286,0.0341869,5.99444e-05,5.99444e-05
3,146.388,1.57176,1.12706,0.97088,0.5351,0.40618,0.39178,0.21039,1.5611,1.0873,0.96039,0.000875,8.13492e-05,8.13492e-05
4,177.215,1.42195,0.99594,0.94733,0.56817,0.42836,0.42369,0.23989,1.44428,0.9782,0.9406,7.3e-05,7.3e-05,7.3e-05
5,208.425,1.36237,0.92199,0.92797,0.57352,0.44347,0.4397,0.25316,1.39672,0.94863,0.93322,6.4e-05,6.4e-05,6.4e-05
6,239.219,1.31873,0.89267,0.92134,0.59904,0.44544,0.45356,0.26418,1.36841,0.91833,0.92776,5.5e-05,5.5e-05,5.5e-05
7,270.451,1.29896,0.87489,0.91728,0.59967,0.45122,0.45902,0.26985,1.35992,0.90526,0.9266,4.6e-05,4.6e-05,4.6e-05
8,301.401,1.28751,0.85765,0.91667,0.59046,0.45641,0.45695,0.26978,1.34475,0.90243,0.92453,3.7e-05,3.7e-05,3.7e-05
9,332.148,1.27799,0.84539,0.91358,0.61152,0.45503,0.46559,0.27388,1.34753,0.89452,0.92215,2.8e-05,2.8e-05,2.8e-05
10,363.631,1.27162,0.8468,0.90969,0.60496,0.45947,0.47029,0.27683,1.33328,0.8864,0.92049,1.9e-05,1.9e-05,1.9e-05
