epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.8826,1.88858,1.35311,1.05273,0.61346,0.22887,0.23082,0.11377,1.94605,1.86388,1.08529,0.0677857,0.000325397,0.000325397
2,107.594,1.47271,1.01027,0.96507,0.51731,0.39403,0.37969,0.21272,1.48832,1.10897,0.97375,0.0347264,0.000599444,0.000599444
3,136.284,1.42524,0.97963,0.94658,0.50285,0.40248,0.38055,0.2115,1.49599,1.18103,0.96325,0.00160714,0.000813492,0.000813492
4,164.469,1.38433,0.96293,0.94977,0.47747,0.39638,0.36331,0.20823,1.48326,1.15179,0.97508,0.00073,0.00073,0.00073
5,192.518,1.36027,0.94953,0.93911,0.53365,0.41705,0.42872,0.24097,1.49603,1.06144,0.94876,0.00064,0.00064,0.00064
6,220.538,1.33363,0.91791,0.93364,0.53386,0.42991,0.42632,0.24919,1.40653,1.01055,0.94464,0.00055,0.00055,0.00055
7,248.953,1.32596,0.9122,0.93416,0.56214,0.44911,0.45489,0.26837,1.36794,0.93659,0.94265,0.00046,0.00046,0.00046
8,278.03,1.29845,0.87925,0.93084,0.53471,0.43514,0.43322,0.24808,1.41903,1.00945,0.94107,0.00037,0.00037,0.00037
9,306.042,1.29549,0.87486,0.92851,0.52733,0.43478,0.4348,0.25541,1.3872,1.01479,0.935,0.00028,0.00028,0.00028
10,334.05,1.29016,0.8591,0.92497,0.58411,0.44799,0.46695,0.28279,1.31885,0.90063,0.93043,0.00019,0.00019,0.00019
