epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.2714,1.80081,1.30806,1.03875,0.4167,0.31122,0.29358,0.16497,1.63477,1.42494,0.98417,0.000542437,0.000542437,0.000542437
2,109.056,1.41675,0.97057,0.9559,0.51262,0.39032,0.39561,0.22135,1.49072,1.18074,0.95604,0.000999274,0.000999274,0.000999274
3,138.236,1.41517,0.97262,0.9497,0.49695,0.40309,0.38725,0.2125,1.50508,1.11158,0.96943,0.00135609,0.00135609,0.00135609
4,167.266,1.38955,0.9742,0.95265,0.50189,0.39251,0.38941,0.22474,1.46886,1.23081,0.96219,0.00121691,0.00121691,0.00121691
5,196.143,1.36176,0.9437,0.9413,0.51687,0.38806,0.39969,0.23334,1.44877,1.13689,0.95216,0.00106688,0.00106688,0.00106688
6,225.042,1.33186,0.91472,0.9335,0.51022,0.41729,0.40721,0.23164,1.48149,1.0692,0.95133,0.00091685,0.00091685,0.00091685
7,253.884,1.30836,0.87747,0.93172,0.54642,0.42521,0.43861,0.26271,1.36813,1.02674,0.93751,0.00076682,0.00076682,0.00076682
8,282.509,1.27689,0.86272,0.92723,0.56508,0.45005,0.45274,0.26786,1.36117,0.96466,0.93679,0.00061679,0.00061679,0.00061679
9,311.526,1.2695,0.85365,0.92279,0.54136,0.44858,0.45506,0.27152,1.3572,0.92744,0.92993,0.00046676,0.00046676,0.00046676
10,340.467,1.25435,0.82893,0.91742,0.58942,0.4476,0.47361,0.28665,1.32658,0.89597,0.92935,0.00031673,0.00031673,0.00031673
