epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.123,1.65924,1.12675,0.99921,0.65917,0.28191,0.31049,0.16149,1.7434,1.75963,0.99842,0.0677857,0.000325397,0.000325397
2,106.938,1.42637,0.97024,0.95235,0.47496,0.41634,0.37077,0.21277,1.45223,1.26231,0.96055,0.0347264,0.000599444,0.000599444
3,135.46,1.41544,0.95814,0.94608,0.57025,0.42043,0.42333,0.23691,1.46441,1.08807,0.96731,0.00160714,0.000813492,0.000813492
4,163.67,1.3911,0.95218,0.95175,0.47102,0.36065,0.35575,0.20429,1.51318,1.36277,0.97616,0.00073,0.00073,0.00073
5,191.924,1.36286,0.93411,0.93911,0.54562,0.3915,0.39978,0.23263,1.47377,1.13464,0.9608,0.00064,0.00064,0.00064
6,220.011,1.35058,0.90682,0.93352,0.54063,0.41995,0.38876,0.22482,1.41092,1.0885,0.95697,0.00055,0.00055,0.00055
7,248.087,1.33586,0.9049,0.9363,0.57649,0.43579,0.44815,0.26368,1.38999,0.96331,0.94763,0.00046,0.00046,0.00046
8,276.116,1.31785,0.88045,0.93401,0.54864,0.43258,0.43508,0.25462,1.38136,0.98593,0.94661,0.00037,0.00037,0.00037
9,303.59,1.30698,0.88135,0.92966,0.56715,0.43008,0.44498,0.25946,1.38473,0.98377,0.9365,0.00028,0.00028,0.00028
10,331.14,1.30941,0.87338,0.92805,0.57404,0.44097,0.44817,0.2722,1.3269,0.92592,0.9381,0.00019,0.00019,0.00019
