epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.9278,2.2867,1.99281,1.17363,0.40313,0.22735,0.23649,0.11217,1.90171,1.82163,1.02336,0.000542437,0.000542437,0.000542437
2,107.358,1.59526,1.16553,0.99324,0.39969,0.35759,0.3144,0.16047,1.78985,1.31132,0.99458,0.000999274,0.000999274,0.000999274
3,136.87,1.52967,1.12013,0.97737,0.43075,0.38302,0.33172,0.17514,1.64836,1.30562,0.9927,0.00135609,0.00135609,0.00135609
4,166.279,1.4926,1.09722,0.97691,0.44851,0.35552,0.33663,0.18316,1.56163,1.48676,0.97913,0.00121691,0.00121691,0.00121691
5,195.547,1.45589,1.05367,0.96556,0.49007,0.39134,0.38345,0.21455,1.49,1.19491,0.95279,0.00106688,0.00106688,0.00106688
6,225.025,1.40854,1.00584,0.95349,0.47253,0.41911,0.38469,0.21332,1.52198,1.1568,0.95671,0.00091685,0.00091685,0.00091685
7,254.4,1.38002,0.97892,0.94923,0.53739,0.407,0.40643,0.24058,1.40677,1.0169,0.94919,0.00076682,0.00076682,0.00076682
8,283.704,1.33964,0.96193,0.94288,0.54288,0.42616,0.42758,0.2506,1.39714,0.99036,0.93691,0.00061679,0.00061679,0.00061679
9,312.915,1.32714,0.93832,0.93604,0.56335,0.43347,0.44534,0.26527,1.36628,0.96179,0.93299,0.00046676,0.00046676,0.00046676
10,342.222,1.31789,0.90962,0.9323,0.56526,0.43752,0.44852,0.27396,1.31826,0.94975,0.92981,0.00031673,0.00031673,0.00031673
