epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3617,1.72925,1.19361,1.01159,0.53446,0.40197,0.39996,0.22116,1.55687,1.0858,0.97946,0.000542437,0.000542437,0.000542437
2,107.615,1.41632,0.94657,0.95278,0.50972,0.40178,0.40384,0.22568,1.51513,1.06336,0.95821,0.000999274,0.000999274,0.000999274
3,136.942,1.41218,0.94443,0.94289,0.52662,0.43391,0.41209,0.23312,1.47886,1.0299,0.9604,0.00135609,0.00135609,0.00135609
4,165.538,1.39503,0.93732,0.9489,0.54298,0.4116,0.41355,0.22961,1.55091,1.09508,0.97284,0.00121691,0.00121691,0.00121691
5,194.566,1.3637,0.91571,0.93598,0.53954,0.40983,0.41523,0.2389,1.44175,1.10377,0.9555,0.00106688,0.00106688,0.00106688
6,223.212,1.34465,0.90248,0.93303,0.54233,0.42618,0.42307,0.23936,1.45678,1.02194,0.94617,0.00091685,0.00091685,0.00091685
7,252.218,1.32898,0.87499,0.93212,0.58302,0.43281,0.44612,0.26381,1.37265,0.9595,0.94737,0.00076682,0.00076682,0.00076682
8,280.682,1.30826,0.85488,0.93016,0.55251,0.43661,0.43327,0.24829,1.42822,1.00005,0.94803,0.00061679,0.00061679,0.00061679
9,308.891,1.30338,0.85987,0.9264,0.5455,0.4451,0.43867,0.25711,1.37401,0.9725,0.93812,0.00046676,0.00046676,0.00046676
10,337.18,1.2928,0.84622,0.92538,0.56556,0.4346,0.44729,0.26804,1.35664,0.95238,0.93561,0.00031673,0.00031673,0.00031673
