epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.983,2.01905,1.52878,1.06815,0.68046,0.18088,0.1865,0.07977,2.17213,3.64139,1.0881,0.0674929,3.25397e-05,3.25397e-05
2,104.64,1.70225,1.2522,1.00956,0.49125,0.34524,0.30936,0.15254,1.7645,1.50582,1.00908,0.0341869,5.99444e-05,5.99444e-05
3,133.148,1.61826,1.16898,0.98082,0.4758,0.40099,0.37039,0.19668,1.63879,1.19521,0.97763,0.000875,8.13492e-05,8.13492e-05
4,161.394,1.53602,1.10484,0.97252,0.48775,0.39921,0.3839,0.20979,1.55874,1.12354,0.97151,7.3e-05,7.3e-05,7.3e-05
5,189.89,1.49823,1.07035,0.9603,0.50377,0.4027,0.38962,0.21165,1.57549,1.12166,0.96557,6.4e-05,6.4e-05,6.4e-05
6,218.029,1.46961,1.03972,0.95271,0.54141,0.40288,0.40552,0.22733,1.49836,1.05549,0.96131,5.5e-05,5.5e-05,5.5e-05
7,246.189,1.45328,1.03192,0.95195,0.51297,0.41534,0.39401,0.22362,1.48598,1.07526,0.96196,4.6e-05,4.6e-05,4.6e-05
8,274.105,1.44505,1.01947,0.95047,0.52354,0.4197,0.40807,0.22978,1.49231,1.04954,0.95418,3.7e-05,3.7e-05,3.7e-05
9,302.197,1.43401,1.0164,0.94665,0.51783,0.40999,0.40348,0.22766,1.51489,1.06835,0.95163,2.8e-05,2.8e-05,2.8e-05
10,330.166,1.43592,1.0016,0.94474,0.53458,0.41665,0.41707,0.23785,1.46717,1.02166,0.94776,1.9e-05,1.9e-05,1.9e-05
