epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.2959,1.75358,1.25764,1.02407,0.32306,0.26398,0.18576,0.084,2.11105,1.87829,1.04692,0.0677857,0.000325397,0.000325397
2,108.095,1.43616,0.99906,0.95973,0.50943,0.41682,0.39911,0.22637,1.47636,1.07613,0.94665,0.0347264,0.000599444,0.000599444
3,136.763,1.39928,0.96645,0.94665,0.49658,0.43262,0.39582,0.22361,1.44874,1.1083,0.94565,0.00160714,0.000813492,0.000813492
4,165.281,1.37145,0.94951,0.94779,0.51139,0.4091,0.39387,0.23011,1.43393,1.03051,0.96659,0.00073,0.00073,0.00073
5,193.854,1.34706,0.93382,0.93927,0.53236,0.40474,0.41425,0.2393,1.44783,1.13287,0.93835,0.00064,0.00064,0.00064
6,222.196,1.31998,0.91362,0.93259,0.54938,0.41763,0.42154,0.24471,1.40761,0.98277,0.94492,0.00055,0.00055,0.00055
7,250.539,1.29714,0.88526,0.93183,0.59717,0.44257,0.46355,0.28119,1.34752,0.91725,0.94145,0.00046,0.00046,0.00046
8,279.05,1.27628,0.86348,0.92627,0.54412,0.4288,0.43068,0.2538,1.37892,0.97267,0.93883,0.00037,0.00037,0.00037
9,306.974,1.2629,0.85732,0.92199,0.56516,0.44621,0.46072,0.27832,1.32702,0.91506,0.92627,0.00028,0.00028,0.00028
10,334.961,1.25844,0.83645,0.91796,0.55442,0.45246,0.45772,0.27881,1.30241,0.90582,0.92608,0.00019,0.00019,0.00019
