epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.7974,2.55838,2.07028,1.22645,0.20642,0.0928,0.078,0.02508,2.97795,2.51437,1.19728,0.0674929,3.25397e-05,3.25397e-05
2,114.405,2.01296,1.57232,1.08864,0.37019,0.32394,0.2591,0.11843,1.97439,1.46545,1.03903,0.0341869,5.99444e-05,5.99444e-05
3,147.831,1.79365,1.38547,1.03073,0.43585,0.36592,0.3165,0.15991,1.74938,1.27104,1.00249,0.000875,8.13492e-05,8.13492e-05
4,179.582,1.633,1.23957,1.00318,0.46224,0.39302,0.34741,0.18302,1.64697,1.18849,0.99032,7.3e-05,7.3e-05,7.3e-05
5,211.934,1.5744,1.16673,0.9871,0.49155,0.40917,0.37094,0.19888,1.58793,1.13306,0.97516,6.4e-05,6.4e-05,6.4e-05
6,243.773,1.52996,1.12689,0.9727,0.50583,0.41429,0.38141,0.20943,1.54768,1.09425,0.9689,5.5e-05,5.5e-05,5.5e-05
7,275.989,1.49836,1.10229,0.96813,0.51656,0.42055,0.39259,0.21722,1.52476,1.06849,0.96358,4.6e-05,4.6e-05,4.6e-05
8,307.813,1.48065,1.08158,0.96685,0.51153,0.42191,0.39209,0.21624,1.52884,1.07354,0.96267,3.7e-05,3.7e-05,3.7e-05
9,339.482,1.47393,1.06754,0.96297,0.52937,0.41716,0.401,0.22164,1.51988,1.05919,0.96052,2.8e-05,2.8e-05,2.8e-05
10,371.155,1.47346,1.06314,0.95869,0.53546,0.41692,0.40293,0.22331,1.51085,1.05617,0.95892,1.9e-05,1.9e-05,1.9e-05
