epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.6675,2.19937,1.64396,1.09973,0.43503,0.34683,0.29879,0.15281,1.75668,1.3242,1.02643,0.000542437,0.000542437,0.000542437
2,116.16,1.58983,1.11709,0.98763,0.46874,0.38447,0.34196,0.1855,1.61286,1.24169,0.98892,0.000999274,0.000999274,0.000999274
3,149.807,1.55165,1.08272,0.96881,0.47763,0.37479,0.34451,0.18624,1.62334,1.21191,0.98434,0.00135609,0.00135609,0.00135609
4,181.173,1.52497,1.07516,0.97438,0.47397,0.38082,0.36157,0.19974,1.60321,1.17498,0.98566,0.00121691,0.00121691,0.00121691
5,213.111,1.47973,1.03179,0.96018,0.46787,0.34139,0.33518,0.18257,1.63656,1.38461,0.98515,0.00106688,0.00106688,0.00106688
6,244.278,1.45763,1.01112,0.95502,0.50027,0.39154,0.37532,0.21014,1.56345,1.12657,0.97513,0.00091685,0.00091685,0.00091685
7,276.621,1.44048,0.99556,0.95478,0.50355,0.36905,0.37677,0.21726,1.48268,1.19262,0.96586,0.00076682,0.00076682,0.00076682
8,308.882,1.42382,0.97723,0.95332,0.49727,0.3897,0.38339,0.21211,1.54631,1.13107,0.96649,0.00061679,0.00061679,0.00061679
9,340.334,1.40899,0.96135,0.94659,0.51464,0.40402,0.40946,0.22829,1.51741,1.08011,0.96499,0.00046676,0.00046676,0.00046676
10,373.404,1.40947,0.9602,0.94542,0.53728,0.40931,0.41488,0.24165,1.44009,1.04999,0.95599,0.00031673,0.00031673,0.00031673
