epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.9111,2.35534,1.75377,1.17395,0.40953,0.30749,0.28218,0.13345,1.94694,1.50942,1.04811,0.000542437,0.000542437,0.000542437
2,120.444,1.71529,1.20379,1.01441,0.44609,0.36054,0.33064,0.16733,1.74941,1.32897,1.01279,0.000999274,0.000999274,0.000999274
3,156.944,1.64178,1.14509,0.98795,0.45028,0.3666,0.32869,0.17489,1.6896,1.26613,1.00217,0.00135609,0.00135609,0.00135609
4,190.096,1.61673,1.13949,0.99267,0.46986,0.34231,0.34032,0.18347,1.64901,1.28248,0.99186,0.00121691,0.00121691,0.00121691
5,223.136,1.5781,1.10988,0.97862,0.50501,0.37836,0.37227,0.19878,1.65035,1.16097,0.99618,0.00106688,0.00106688,0.00106688
6,256.498,1.5505,1.08513,0.9739,0.51947,0.39781,0.38608,0.21308,1.58024,1.11568,0.98165,0.00091685,0.00091685,0.00091685
7,288.775,1.53424,1.07116,0.97258,0.50127,0.39412,0.38487,0.21435,1.54786,1.12696,0.9792,0.00076682,0.00076682,0.00076682
8,323.281,1.49887,1.03463,0.96762,0.49266,0.3891,0.37469,0.20281,1.58839,1.14122,0.97807,0.00061679,0.00061679,0.00061679
9,356.056,1.49447,1.02399,0.96283,0.51183,0.40211,0.39381,0.21925,1.5396,1.10455,0.97454,0.00046676,0.00046676,0.00046676
10,387.869,1.49205,1.02594,0.96072,0.51815,0.40424,0.40135,0.22802,1.51802,1.11016,0.97007,0.00031673,0.00031673,0.00031673
