epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.0299,1.78014,1.38348,1.02997,0.08217,0.06491,0.02603,0.00719,3.2934,3.1921,1.48634,0.0674929,3.25397e-05,3.25397e-05
2,118.135,1.41965,0.99947,0.95369,0.47894,0.36917,0.35532,0.18898,1.63493,1.16641,0.97329,0.0341869,5.99444e-05,5.99444e-05
3,150.975,1.32714,0.90469,0.92469,0.55785,0.43975,0.444,0.25852,1.39885,0.98769,0.93228,0.000875,8.13492e-05,8.13492e-05
4,182.924,1.26219,0.84286,0.91938,0.55035,0.46345,0.46428,0.27499,1.33731,0.93432,0.91788,7.3e-05,7.3e-05,7.3e-05
5,216.32,1.23996,0.81911,0.90612,0.58113,0.46319,0.47291,0.28269,1.30317,0.90708,0.91352,6.4e-05,6.4e-05,6.4e-05
6,11136,1.21894,0.7922,0.90346,0.58174,0.4692,0.48349,0.29224,1.28474,0.87709,0.91108,5.5e-05,5.5e-05,5.5e-05
7,11165.5,1.20664,0.7781,0.90171,0.60093,0.47629,0.49545,0.304,1.26395,0.82919,0.91158,4.6e-05,4.6e-05,4.6e-05
8,11193.9,1.19997,0.76591,0.9025,0.56689,0.47017,0.47294,0.28756,1.26052,0.9012,0.91085,3.7e-05,3.7e-05,3.7e-05
9,11221.8,1.18979,0.75863,0.89551,0.60458,0.47263,0.49192,0.30195,1.24982,0.83658,0.90813,2.8e-05,2.8e-05,2.8e-05
10,11249.9,1.18254,0.74474,0.89362,0.61124,0.47775,0.49952,0.30793,1.25028,0.82112,0.90896,1.9e-05,1.9e-05,1.9e-05
