epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.8198,1.91622,1.36225,1.04916,0.36677,0.30066,0.24176,0.10745,2.10621,2.43974,1.05647,0.0677857,0.000325397,0.000325397
2,98.974,1.62436,1.14148,0.99254,0.40896,0.3549,0.31845,0.15678,1.81605,1.4623,1.02261,0.0347264,0.000599444,0.000599444
3,127.64,1.59109,1.09941,0.9788,0.51853,0.39563,0.3833,0.20373,1.64816,1.16038,0.99448,0.00160714,0.000813492,0.000813492
4,155.415,1.55062,1.0877,0.97779,0.49054,0.38698,0.37666,0.20253,1.65574,1.18396,0.99112,0.00073,0.00073,0.00073
5,183.229,1.52448,1.06965,0.96933,0.49917,0.37825,0.37908,0.20652,1.61502,1.2586,0.97919,0.00064,0.00064,0.00064
6,210.843,1.50242,1.04942,0.96366,0.5372,0.39517,0.39804,0.21741,1.56895,1.15531,0.97894,0.00055,0.00055,0.00055
7,239.06,1.4923,1.04361,0.96331,0.54159,0.42298,0.41487,0.2298,1.52048,1.0642,0.97609,0.00046,0.00046,0.00046
8,266.62,1.4742,1.01722,0.96261,0.49597,0.40804,0.39049,0.21201,1.57132,1.11735,0.96336,0.00037,0.00037,0.00037
9,293.899,1.45936,1.01812,0.9549,0.52463,0.41569,0.40995,0.22816,1.5132,1.07383,0.96515,0.00028,0.00028,0.00028
10,321.467,1.45326,1.00461,0.95238,0.54696,0.4191,0.42292,0.24031,1.49207,1.04094,0.96163,0.00019,0.00019,0.00019
