epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6492,1.79606,1.23643,1.0325,0.47693,0.30388,0.23208,0.11874,1.92826,2.0816,1.04367,0.0677857,0.000325397,0.000325397
2,104.266,1.48133,1.02193,0.96353,0.47497,0.3695,0.34804,0.18777,1.58633,1.26764,0.9789,0.0347264,0.000599444,0.000599444
3,132.289,1.44483,0.98298,0.95044,0.52819,0.41056,0.41795,0.23005,1.55599,1.07156,0.96827,0.00160714,0.000813492,0.000813492
4,159.985,1.42141,0.97903,0.954,0.52096,0.38744,0.39337,0.22628,1.50873,1.1135,0.98144,0.00073,0.00073,0.00073
5,187.799,1.38967,0.9589,0.94232,0.47763,0.3308,0.35167,0.19105,1.5791,1.62496,0.97354,0.00064,0.00064,0.00064
6,215.173,1.36556,0.93472,0.93782,0.55149,0.41443,0.42614,0.24508,1.42783,1.05728,0.95394,0.00055,0.00055,0.00055
7,243.248,1.35719,0.91783,0.93896,0.55199,0.43607,0.43738,0.25156,1.41662,0.9792,0.9506,0.00046,0.00046,0.00046
8,270.779,1.33977,0.89881,0.93695,0.53609,0.42999,0.43058,0.24437,1.42953,0.994,0.94646,0.00037,0.00037,0.00037
9,298.104,1.33248,0.89577,0.93248,0.55661,0.43797,0.44366,0.25286,1.43551,0.98854,0.94593,0.00028,0.00028,0.00028
10,325.992,1.32618,0.88751,0.93225,0.57545,0.44013,0.45388,0.26955,1.36699,0.93747,0.94059,0.00019,0.00019,0.00019
