epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.464,1.67571,1.15924,1.0035,0.49908,0.37876,0.38156,0.20796,1.60402,1.10793,0.96548,0.000542437,0.000542437,0.000542437
2,107.262,1.37949,0.94485,0.94542,0.50043,0.39653,0.39588,0.22456,1.50311,1.06908,0.95076,0.000999274,0.000999274,0.000999274
3,136.389,1.39164,0.94004,0.94373,0.50327,0.40049,0.38373,0.21094,1.53419,1.11856,0.97385,0.00135609,0.00135609,0.00135609
4,165.135,1.40246,0.96794,0.95561,0.52591,0.41322,0.41466,0.23961,1.43987,1.11774,0.96138,0.00121691,0.00121691,0.00121691
5,194.118,1.35589,0.93478,0.93788,0.54049,0.42884,0.42842,0.25331,1.42783,0.98771,0.95976,0.00106688,0.00106688,0.00106688
6,222.724,1.32978,0.9047,0.93509,0.51549,0.42635,0.40513,0.22552,1.50285,1.05505,0.95315,0.00091685,0.00091685,0.00091685
7,251.715,1.31391,0.88041,0.93225,0.52563,0.39786,0.41264,0.24665,1.4015,1.12137,0.95233,0.00076682,0.00076682,0.00076682
8,280.483,1.28736,0.86612,0.92921,0.54479,0.4459,0.43998,0.25832,1.38715,0.99057,0.937,0.00061679,0.00061679,0.00061679
9,309.344,1.27586,0.85273,0.92317,0.55709,0.44556,0.44341,0.26832,1.33851,0.95011,0.93281,0.00046676,0.00046676,0.00046676
10,338.023,1.26819,0.83508,0.92086,0.57301,0.43874,0.45493,0.27226,1.35513,0.94214,0.93321,0.00031673,0.00031673,0.00031673
