epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1638,1.85089,1.30413,1.04313,0.56667,0.25731,0.24015,0.11677,1.93111,1.67773,1.06172,0.0677857,0.000325397,0.000325397
2,104.495,1.46644,1.01426,0.96303,0.54565,0.36434,0.35164,0.18775,1.62109,1.35454,1.0029,0.0347264,0.000599444,0.000599444
3,132.848,1.43836,0.98097,0.94867,0.50724,0.42033,0.39518,0.22163,1.51048,1.10116,0.96326,0.00160714,0.000813492,0.000813492
4,160.98,1.3963,0.96087,0.95076,0.5054,0.38813,0.3888,0.22299,1.49929,1.16418,0.97128,0.00073,0.00073,0.00073
5,189.357,1.36073,0.94517,0.93811,0.54707,0.42139,0.42423,0.244,1.47321,1.07587,0.95749,0.00064,0.00064,0.00064
6,217.349,1.34291,0.91544,0.93517,0.57774,0.43075,0.44304,0.25983,1.41491,0.966,0.95396,0.00055,0.00055,0.00055
7,245.423,1.33739,0.90392,0.93622,0.55356,0.42963,0.44062,0.24588,1.48064,0.98675,0.94932,0.00046,0.00046,0.00046
8,273.701,1.31729,0.88633,0.93271,0.55785,0.43349,0.43363,0.25037,1.39915,0.99402,0.94253,0.00037,0.00037,0.00037
9,301.574,1.30458,0.88549,0.92748,0.55633,0.43738,0.44583,0.26044,1.39556,0.97027,0.9405,0.00028,0.00028,0.00028
10,329.594,1.30387,0.86913,0.92743,0.5545,0.43522,0.43957,0.26292,1.35008,0.97107,0.94215,0.00019,0.00019,0.00019
