epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6384,1.93113,1.45899,1.05866,0.24935,0.1977,0.13819,0.05951,2.35483,2.31535,1.12255,0.0674929,3.25397e-05,3.25397e-05
2,107.572,1.63044,1.18415,0.99683,0.3068,0.37318,0.27738,0.12722,1.98722,1.58178,1.03715,0.0341869,5.99444e-05,5.99444e-05
3,136.151,1.56484,1.11086,0.97304,0.46925,0.39483,0.37209,0.19305,1.6325,1.19871,0.97129,0.000875,8.13492e-05,8.13492e-05
4,164.6,1.48998,1.05643,0.96671,0.5071,0.40275,0.3965,0.2197,1.50656,1.11187,0.96209,7.3e-05,7.3e-05,7.3e-05
5,193.045,1.45412,1.02316,0.95351,0.5421,0.41641,0.41992,0.23415,1.49431,1.03578,0.95372,6.4e-05,6.4e-05,6.4e-05
6,221.248,1.42743,0.998,0.94586,0.53598,0.42068,0.42048,0.23648,1.47027,1.03265,0.95467,5.5e-05,5.5e-05,5.5e-05
7,249.722,1.41401,0.97805,0.9452,0.55064,0.42767,0.4282,0.24467,1.4404,1.00093,0.95306,4.6e-05,4.6e-05,4.6e-05
8,278,1.40218,0.96897,0.94399,0.54151,0.42377,0.42857,0.24346,1.44873,1.0116,0.94351,3.7e-05,3.7e-05,3.7e-05
9,306.112,1.39205,0.96005,0.93876,0.53967,0.4271,0.43047,0.24709,1.43192,1,0.94374,2.8e-05,2.8e-05,2.8e-05
10,334.175,1.38783,0.9544,0.93529,0.53874,0.4314,0.43456,0.24975,1.42457,0.99185,0.94065,1.9e-05,1.9e-05,1.9e-05
