epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.27,1.69073,1.17724,1.00271,0.49731,0.38032,0.36128,0.19298,1.65519,1.16542,0.9934,0.000542437,0.000542437,0.000542437
2,106.428,1.41572,0.9479,0.95247,0.49115,0.3963,0.39411,0.21453,1.52123,1.17042,0.95834,0.000999274,0.000999274,0.000999274
3,135.849,1.40336,0.94104,0.94296,0.40672,0.41836,0.33979,0.18434,1.55895,1.48144,0.98393,0.00135609,0.00135609,0.00135609
4,164.429,1.39307,0.94649,0.95192,0.5137,0.40515,0.40134,0.23101,1.48924,1.1299,0.972,0.00121691,0.00121691,0.00121691
5,193.599,1.35627,0.92951,0.93658,0.53651,0.41556,0.41037,0.2345,1.44716,1.0469,0.95479,0.00106688,0.00106688,0.00106688
6,222.182,1.34071,0.89984,0.93394,0.50605,0.42734,0.40741,0.22865,1.46729,1.05111,0.94955,0.00091685,0.00091685,0.00091685
7,251.195,1.32191,0.87327,0.93427,0.56739,0.43058,0.44433,0.26652,1.37332,0.98414,0.95155,0.00076682,0.00076682,0.00076682
8,279.81,1.30165,0.85758,0.92983,0.58143,0.43957,0.45023,0.26664,1.37057,0.92634,0.93531,0.00061679,0.00061679,0.00061679
9,308.483,1.29644,0.85095,0.92578,0.5553,0.44895,0.44397,0.265,1.38286,0.95246,0.94084,0.00046676,0.00046676,0.00046676
10,336.854,1.28601,0.84281,0.92365,0.58372,0.44176,0.45661,0.27626,1.33138,0.92541,0.93394,0.00031673,0.00031673,0.00031673
