epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.1211,2.18836,1.6121,1.10235,0.33896,0.23363,0.21806,0.11449,1.85374,1.74814,1.04382,0.000542437,0.000542437,0.000542437
2,103.62,1.5868,1.12526,0.99086,0.48269,0.36132,0.35662,0.19135,1.6691,1.2111,1.00983,0.000999274,0.000999274,0.000999274
3,132.396,1.53834,1.09099,0.97538,0.50524,0.39071,0.36364,0.20537,1.55182,1.15362,0.988,0.00135609,0.00135609,0.00135609
4,161.312,1.50805,1.08035,0.97806,0.43201,0.35649,0.34476,0.19064,1.56221,1.44195,0.97215,0.00121691,0.00121691,0.00121691
5,189.732,1.46476,1.04631,0.96214,0.48614,0.39031,0.38609,0.2169,1.52991,1.13096,0.96902,0.00106688,0.00106688,0.00106688
6,218.262,1.42894,1.0148,0.95594,0.49419,0.41946,0.38112,0.21161,1.49104,1.18863,0.96741,0.00091685,0.00091685,0.00091685
7,246.454,1.40818,0.9977,0.95398,0.5452,0.41974,0.42311,0.24419,1.42727,1.01871,0.95224,0.00076682,0.00076682,0.00076682
8,275.365,1.38682,0.97499,0.95207,0.53503,0.41651,0.42173,0.23445,1.48647,1.03709,0.94862,0.00061679,0.00061679,0.00061679
9,303.52,1.37736,0.96349,0.94636,0.52956,0.42299,0.42458,0.24011,1.50197,1.03672,0.95273,0.00046676,0.00046676,0.00046676
10,332.093,1.35882,0.93871,0.94284,0.56298,0.43573,0.44247,0.26088,1.38983,0.97324,0.94735,0.00031673,0.00031673,0.00031673
